tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***23055,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0423,NR,127 MAVETY ST,,,ON
***15196,20240320,3,PARK ON PRIVATE PROPERTY,75,0424,,15 TOBERMORY DR,,,ON
***15097,20240320,3,PARK ON PRIVATE PROPERTY,75,0424,AT,88 CORPORATE DR,,,ON
***90177,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0424,NR,281 MILVERTON BLVD,,,ON
***56344,20240320,2,PARK - LONGER THAN 3 HOURS,30,0424,NR,19 TEALHAM DR,,,ON
***08039,20240320,3,PARK ON PRIVATE PROPERTY,75,0425,,680 REXDALE BLVD,,,ON
***97065,20240320,3,PARK ON PRIVATE PROPERTY,75,0425,,53 THORNCLIFFE PARK DR,,,ON
***15098,20240320,3,PARK ON PRIVATE PROPERTY,75,0425,AT,88 CORPORATE DR,,,ON
***56345,20240320,2,PARK - LONGER THAN 3 HOURS,30,0425,NR,19 TEALHAM DR,,,ON
***15099,20240320,3,PARK ON PRIVATE PROPERTY,75,0426,AT,88 CORPORATE DR,,,ON
***42430,20240320,3,PARK ON PRIVATE PROPERTY,75,0426,AT,600 FLEET ST,,,ON
***56346,20240320,2,PARK - LONGER THAN 3 HOURS,30,0426,OPP,19 TEALHAM DR,,,ON
***56347,20240320,2,PARK - LONGER THAN 3 HOURS,30,0426,OPP,19 TEALHAM DR,,,ON
***15100,20240320,3,PARK ON PRIVATE PROPERTY,75,0427,AT,88 CORPORATE DR,,,ON
***90178,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0427,NR,84 LINNSMORE CRES,,,ON
***67079,20240320,2,PARK - LONGER THAN 3 HOURS,30,0427,NR,2 LOWELL AVE,,,ON
***97066,20240320,3,PARK ON PRIVATE PROPERTY,75,0428,,53 THORNCLIFFE PARK DR,,,ON
***00794,20240320,3,PARK ON PRIVATE PROPERTY,75,0428,,6200 BATHURST STREET,,,ON
***06436,20240320,3,PARK ON PRIVATE PROPERTY,75,0428,AT,117 MCMAHON DR,,,ON
***56348,20240320,2,PARK - LONGER THAN 3 HOURS,30,0428,NR,19 TEALHAM DR,,,ON
***67080,20240320,48,FAIL TO PARK/STOP PARALL. CURB,30,0428,NR,1 LOWELL AVE,,,NS
***09657,20240320,3,PARK ON PRIVATE PROPERTY,75,0429,,1947 LAWRENCE AVE W,,,ON
***97067,20240320,3,PARK ON PRIVATE PROPERTY,75,0429,,53 THORNCLIFFE PARK DR,,,ON
***00795,20240320,3,PARK ON PRIVATE PROPERTY,75,0429,,6200 BATHURST STREET,,,ON
***15232,20240320,3,PARK ON PRIVATE PROPERTY,75,0429,AT,117 MCMAHON DR,,,ON
***15233,20240320,3,PARK ON PRIVATE PROPERTY,75,0429,AT,117 MCMAHON DR,,,AB
***15234,20240320,3,PARK ON PRIVATE PROPERTY,75,0430,AT,117 MCMAHON DR,,,ON
***56349,20240320,2,PARK - LONGER THAN 3 HOURS,30,0430,NR,19 TEALHAM DR,,,ON
***15235,20240320,3,PARK ON PRIVATE PROPERTY,75,0431,AT,117 MCMAHON DR,,,QC
***56350,20240320,2,PARK - LONGER THAN 3 HOURS,30,0431,NR,7 TEALHAM DR,,,ON
***08040,20240320,3,PARK ON PRIVATE PROPERTY,75,0432,,680 REXDALE BLVD,,,ON
***56351,20240320,2,PARK - LONGER THAN 3 HOURS,30,0432,NR,7 TEALHAM DR,,,ON
***09658,20240320,3,PARK ON PRIVATE PROPERTY,75,0433,,1947 LAWRENCE AVE W,,,ON
***15236,20240320,3,PARK ON PRIVATE PROPERTY,75,0433,AT,117 MCMAHON DR,,,ON
***09879,20240320,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0433,NR,33 FIRGROVE CRES,,,ON
***56352,20240320,2,PARK - LONGER THAN 3 HOURS,30,0433,NR,7 TEALHAM DR,,,ON
***76903,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0433,N/S,LOLA RD,W/O,YONGE ST,ON
***18275,20240320,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0434,NR,41 SUSSEX AVE,,,ON
***56353,20240320,2,PARK - LONGER THAN 3 HOURS,30,0434,NR,7 TEALHAM DR,,,ON
***56354,20240320,2,PARK - LONGER THAN 3 HOURS,30,0434,NR,7 TEALHAM DR,,,ON
***58257,20240320,2,PARK - LONGER THAN 3 HOURS,30,0434,NR,25 BIRCHLEA AVE,,,ON
***58258,20240320,2,PARK - LONGER THAN 3 HOURS,30,0434,NR,25 BIRCHLEA AVE,,,ON
***53197,20240320,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0435,NR,34 COMAY RD,,,ON
***56355,20240320,2,PARK - LONGER THAN 3 HOURS,30,0435,NR,7 TEALHAM DR,,,ON
***18276,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0436,NR,41 SUSSEX AVE,,,ON
***53198,20240320,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0436,NR,34 COMAY RD,,,ON
***56356,20240320,2,PARK - LONGER THAN 3 HOURS,30,0436,NR,7 TEALHAM DR,,,ON
***58259,20240320,2,PARK - LONGER THAN 3 HOURS,30,0436,NR,19 BIRCHLEA AVE,,,ON
***15175,20240320,2,PARK - LONGER THAN 3 HOURS,30,0437,NR,33 MEANDERING TRL,,,ON
***54060,20240320,3,PARK ON PRIVATE PROPERTY,75,0437,AT,3140 DUFFERIN ST,,,ON
***56357,20240320,2,PARK - LONGER THAN 3 HOURS,30,0437,NR,7 TEALHAM DR,,,ON
***58260,20240320,2,PARK - LONGER THAN 3 HOURS,30,0437,NR,11 BIRCHLEA AVE,,,ON
***58261,20240320,2,PARK - LONGER THAN 3 HOURS,30,0437,NR,9 BIRCHLEA AVE,,,ON
***67081,20240320,2,PARK - LONGER THAN 3 HOURS,30,0437,NR,8 PERIVALE CRES,,,ON
***56358,20240320,2,PARK - LONGER THAN 3 HOURS,30,0438,NR,7 TEALHAM DR,,,ON
***58262,20240320,2,PARK - LONGER THAN 3 HOURS,30,0438,NR,9 BIRCHLEA AVE,,,ON
***58263,20240320,2,PARK - LONGER THAN 3 HOURS,30,0439,NR,5 BIRCHLEA AVE,,,ON
***58264,20240320,2,PARK - LONGER THAN 3 HOURS,30,0439,NR,5 BIRCHLEA AVE,,,ON
***67082,20240320,2,PARK - LONGER THAN 3 HOURS,30,0439,NR,44 PERIVALE CRES,,,ON
***58265,20240320,2,PARK - LONGER THAN 3 HOURS,30,0440,NR,3 BIRCHLEA AVE,,,ON
***58266,20240320,2,PARK - LONGER THAN 3 HOURS,30,0441,NR,3 BIRCHLEA AVE,,,ON
***67083,20240320,2,PARK - LONGER THAN 3 HOURS,30,0441,OPP,57 PERIVALE CRES,,,ON
***15176,20240320,2,PARK - LONGER THAN 3 HOURS,30,0442,NR,51 MILLCAR DR,,,ON
***58267,20240320,2,PARK - LONGER THAN 3 HOURS,30,0442,NR,1 BIRCHLEA AVE,,,ON
***09804,20240320,3,PARK ON PRIVATE PROPERTY,75,0443,,1 COIN ST,,,ON
***67084,20240320,2,PARK - LONGER THAN 3 HOURS,30,0443,OPP,59 PERIVALE CRES,,,ON
***15177,20240320,2,PARK - LONGER THAN 3 HOURS,30,0444,NR,75 MILLCAR DR,,,ON
***30270,20240320,3,PARK ON PRIVATE PROPERTY,75,0445,,740 KENNEDY RD,,,ON
***15178,20240320,2,PARK - LONGER THAN 3 HOURS,30,0445,NR,75 MILLCAR DR,,,ON
***15179,20240320,2,PARK - LONGER THAN 3 HOURS,30,0445,NR,75 MILLCAR DR,,,ON
***13773,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0445,OPP,134 PENDRITH ST,,,ON
***30271,20240320,3,PARK ON PRIVATE PROPERTY,75,0447,,740 KENNEDY RD,,,ON
***15180,20240320,2,PARK - LONGER THAN 3 HOURS,30,0447,NR,84 MILLCAR DR,,,ON
***58268,20240320,2,PARK - LONGER THAN 3 HOURS,30,0447,OPP,60 EASTWOOD PARK GDNS,,,ON
***76904,20240320,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0447,OPP,103 STRATFORD CRES,,,ON
***13774,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0447,OPP,106 PENDRITH ST,,,ON
***15181,20240320,2,PARK - LONGER THAN 3 HOURS,30,0448,NR,92 MILLCAR DR,,,ON
***09880,20240320,3,PARK ON PRIVATE PROPERTY,75,0448,AT,50 GEORGE BUTCHART DR,,,QC
***58269,20240320,2,PARK - LONGER THAN 3 HOURS,30,0448,OPP,60 EASTWOOD PARK GDNS,,,ON
***58270,20240320,2,PARK - LONGER THAN 3 HOURS,30,0448,OPP,60 EASTWOOD PARK GDNS,,,ON
***09805,20240320,3,PARK ON PRIVATE PROPERTY,75,0449,,10 GARNETT JANES RD,,,ON
***30272,20240320,3,PARK ON PRIVATE PROPERTY,75,0449,,740 KENNEDY RD,,,ON
***15237,20240320,3,PARK ON PRIVATE PROPERTY,75,0449,AT,50 FOREST MANOR RD,,,ON
***58271,20240320,2,PARK - LONGER THAN 3 HOURS,30,0449,OPP,60 EASTWOOD PARK GDNS,,,ON
***15238,20240320,3,PARK ON PRIVATE PROPERTY,75,0450,AT,50 FOREST MANOR RD,,,ON
***09881,20240320,3,PARK ON PRIVATE PROPERTY,75,0450,AT,50 GEORGE BUTCHART DR,,,ON
***58272,20240320,2,PARK - LONGER THAN 3 HOURS,30,0450,OPP,60 EASTWOOD PARK GDNS,,,ON
***13775,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0450,OPP,78 PENDRITH ST,,,ON
***09806,20240320,3,PARK ON PRIVATE PROPERTY,75,0451,,10 GARNETT JANES RD,,,ON
***15239,20240320,3,PARK ON PRIVATE PROPERTY,75,0451,AT,50 FOREST MANOR RD,,,ON
***06282,20240320,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0451,OPP,150 RIVER ST,,,ON
***13776,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0451,NR,3 PENDRITH ST,,,ON
***09882,20240320,3,PARK ON PRIVATE PROPERTY,75,0452,AT,50 GEORGE BUTCHART DR,,,ON
***15240,20240320,3,PARK ON PRIVATE PROPERTY,75,0453,AT,50 FOREST MANOR RD,,,ON
***06283,20240320,9,STOP-SIGNED HWY-PROHIBIT TM/DY,100,0453,OPP,190 OAK ST,,,ON
***53897,20240320,3,PARK ON PRIVATE PROPERTY,75,0453,AT,120 DALLIMORE CRCL,,,ON
***76905,20240320,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0453,NR,132 CHELTENHAM AVE,,,ON
***18277,20240320,3,PARK ON PRIVATE PROPERTY,75,0454,NR,8 CHARLOTTE ST,,,ON
***53898,20240320,3,PARK ON PRIVATE PROPERTY,75,0455,AT,120 DALLIMORE CRCL,,,ON
***53899,20240320,3,PARK ON PRIVATE PROPERTY,75,0455,AT,120 DALLIMORE CRCL,,,ON
***97068,20240320,3,PARK ON PRIVATE PROPERTY,75,0457,,2181 YONGE ST,,,PQ
***09846,20240320,3,PARK ON PRIVATE PROPERTY,75,0458,,345 DRIFTWOOD AVE,,,ON
***30273,20240320,3,PARK ON PRIVATE PROPERTY,75,0500,,301 PRUDENTIAL DR,,,ON
***97069,20240320,3,PARK ON PRIVATE PROPERTY,75,0501,,2181 YONGE ST,,,ON
***09883,20240320,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0501,NR,5 CUFFLEY CRES S,,,ON
***09847,20240320,3,PARK ON PRIVATE PROPERTY,75,0502,,345 DRIFTWOOD AVE,,,ON
***33752,20240320,5,PARK-SIGNED HWY-PROHIBIT DY/TM,50,0509,OPP,1099 BRIAR HILL AVE,,,ON
***33753,20240320,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0511,E/S,DANESBURY AVE,N/O,BRIAR HILL AVE,ON
***33754,20240320,28,PARK-N.YORK 2AM-6AM DEC1-MAR31,40,0512,E/S,DANESBURY AVE,N/O,BRIAR HILL AVE,ON
***97070,20240320,3,PARK ON PRIVATE PROPERTY,75,0513,,920 YONGE ST,,,NY
***33755,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0514,NR,908 BRIAR HILL AVE,,,ON
***34571,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0514,NR,45 AUBURN AVE,,,ON
***34572,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0516,OPP,14 PETERBOROUGH AVE,,,ON
***34573,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0517,OPP,20 PETERBOROUGH AVE,,,ON
***33756,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0518,NR,115 CLOVELLY AVE,,,ON
***34574,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0518,NR,45 PETERBOROUGH AVE,,,ON
***33757,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0521,NR,640 LAUDER AVE,,,ON
***34575,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0521,NR,68 GREENLAW AVE,,,ON
***09807,20240320,3,PARK ON PRIVATE PROPERTY,75,0524,,2155 LAWRENCE AVE E,,,ON
***97071,20240320,3,PARK ON PRIVATE PROPERTY,75,0524,,920 YONGE ST,,,ON
***33758,20240320,29,PARK PROHIBITED TIME NO PERMIT,30,0525,NR,582 LAUDER AVE,,,ON
